genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
FRG1	-1	-1	-1	-1	-1	-1	-1	3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	3	1	3	-1	0	1	0	-1	4
DAZAP2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	0	-1	2	0	-1
NAP1L1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	1	-1	-1	-1	-1	-1	4	-1	4	0	-1	-1	2	0	-1
PTP4A2	-1	-1	-1	-1	-1	-1	4	4	4	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	4	0	-1	-1	0	4
U2AF1	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	4	0	-1	-1	0	-1	-1	-1	-1	-1	0	2	-1	2	0	-1
HNRPU	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	2	0	-1
HNRPK	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	5	4	0	0	1	2	-1	1
RAB32	-1	-1	3	-1	1	-1	4	-1	-1	-1	-1	-1	-1	4	4	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	5	2	-1	4	-1	-1	-1	-1
RPP30	-1	-1	3	-1	-1	-1	-1	4	-1	-1	4	-1	-1	4	-1	4	4	3	3	-1	-1	-1	-1	3	1	1	0	0	-1	-1	-1	-1	-1	0	1	-1	-1	4	-1	-1	-1	4
PRCC	0	-1	0	1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	3	-1	-1	-1	-1	0	0	-1	4	3	3	-1	-1	-1	-1	-1	-1	-1	0	1	4	4	-1	-1	1	-1
KEAP1	1	1	-1	-1	1	1	-1	3	-1	-1	-1	-1	1	-1	-1	3	3	-1	3	-1	4	-1	-1	3	-1	3	-1	3	-1	-1	-1	-1	-1	3	0	1	3	-1	-1	2	4	-1
RNF4	-1	-1	-1	0	-1	1	-1	-1	1	-1	-1	-1	-1	3	-1	4	-1	3	-1	-1	-1	-1	0	3	3	-1	3	3	-1	-1	-1	-1	-1	-1	0	1	4	-1	-1	1	-1	-1
HSPA5	4	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	4	3	-1	-1	3	-1	3	3	-1	4	3	-1	-1	-1	4	-1	-1	-1	-1	1	0	0	1	1	0	-1
ARMET	4	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	3	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	1	-1	-1	-1	2	0	-1
HYOU1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	4	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
HADH2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	4	4	4	-1	-1	4
EBP	-1	-1	-1	-1	-1	-1	4	-1	-1	4	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1
DCTN2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	4	-1	2	0	-1
YWHAB	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	0	-1	2	0	-1
RPN1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1
CAPNS1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	1	-1	2	1	-1
UFD1L	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1
SNRPC	1	-1	-1	-1	-1	1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
SEC13L1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	2	-1	-1
POLR2F	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1
HMGA1	-1	-1	3	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	-1	0	-1	4	2	-1	4	0	4
PSMB6	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	3	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
PSMD9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	3	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	2	0	4
PCMT1	1	-1	0	-1	1	1	0	-1	-1	0	1	-1	1	-1	-1	3	-1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	1
SSR4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	3	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	4	5	-1	0	0	-1	2	0	1
