genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
QARS	-1	-1	-1	-1	-1	4	4	4	4	4	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	4	-1	4	4	4	4	-1	-1
NDUFV3	-1	-1	-1	-1	-1	-1	4	3	4	-1	4	-1	4	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	4	4	-1	-1	1	4
MAPKAPK3	-1	-1	3	-1	-1	4	4	4	3	4	4	-1	-1	4	4	4	-1	3	4	-1	-1	-1	-1	-1	4	-1	-1	1	-1	4	-1	-1	-1	-1	5	2	4	4	-1	-1	0	4
EIF4B	-1	-1	3	4	4	4	4	4	4	-1	-1	4	4	4	4	3	-1	3	3	-1	-1	-1	-1	3	3	3	3	1	-1	-1	-1	-1	-1	4	5	-1	4	4	-1	2	4	4
PPP1R7	-1	-1	3	1	-1	4	4	4	4	4	4	-1	-1	4	4	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	4	4	4	-1	0	4
LGALS1	-1	-1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	0	-1	-1	0	-1
GPI	-1	-1	-1	-1	-1	-1	4	4	4	-1	4	-1	4	-1	-1	-1	-1	4	3	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	4	-1	2	2	-1	-1	-1	-1
COX4I1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	0	0	-1	2	0	-1
COX5B	-1	-1	3	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	3	-1	3	-1	-1	-1	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	3	-1	2	-1	1	-1	0	0	-1
BCAP31	-1	-1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	1	0	-1
RPN2	-1	-1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	2	0	4
PDXK	4	-1	3	0	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	0	3	-1	-1	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	-1	4	-1	1	0	-1
BZRP	-1	-1	3	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	4	-1	-1	2	0	-1
HK1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	2	2	-1	2	0	-1
GPX1	-1	-1	-1	-1	4	-1	0	4	4	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	5	0	-1	-1	-1	-1	0	-1
ATP6AP1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	2	0	-1
PPGB	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	0	0	-1	2	0	-1
LRPAP1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	-1	4	-1	-1	-1	-1
PLOD	4	-1	-1	-1	-1	-1	4	4	4	4	4	-1	-1	-1	-1	4	-1	3	4	-1	-1	-1	-1	-1	3	3	3	-1	-1	-1	-1	-1	-1	3	-1	2	-1	4	4	-1	0	4
VAT1	-1	-1	-1	-1	-1	-1	4	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	4	2	-1	-1	-1	4
AP2M1	-1	-1	-1	-1	-1	-1	4	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2	-1	-1	0	4
AP2S1	-1	-1	3	-1	-1	-1	3	4	4	4	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	-1	4	4	-1	-1	-1	4
IDH3G	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	4	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	-1	-1	4	4	-1	2	0	4
POLR2E	1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	-1	-1	4	-1	2	0	-1
MAPK14	-1	-1	0	-1	-1	-1	0	4	3	-1	-1	-1	-1	-1	-1	3	-1	-1	0	-1	-1	-1	-1	-1	3	3	0	-1	-1	4	-1	-1	-1	3	-1	-1	4	-1	-1	-1	-1	-1
FDFT1	1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	3	-1	4	3	3	-1	-1	3	-1	-1	3	3	-1	0	1	-1	-1	-1	-1	-1	3	1	2	4	-1	-1	2	-1	-1
AP3D1	-1	-1	0	-1	-1	-1	-1	3	4	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	3	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	-1	4
SMARCA4	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	4	5	-1	4	4	-1	2	-1	4
RBBP4	-1	-1	-1	-1	-1	4	-1	4	4	-1	-1	-1	-1	4	4	3	-1	-1	4	3	-1	-1	-1	3	4	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	2	-1	-1	-1	-1	0	4
EIF3S10	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	0	-1	-1	-1	-1	2	3	-1
EBNA1BP2	1	-1	4	-1	0	-1	-1	4	-1	4	0	3	1	4	-1	4	-1	3	-1	-1	-1	0	-1	-1	3	4	4	-1	-1	-1	-1	-1	-1	3	0	2	4	4	5	-1	-1	3
NME1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	3	-1	3	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	1	-1	4	5	-1	0	3
ADSL	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	4	-1	1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	4	-1	-1	-1	0	4
SNRPN	-1	-1	-1	-1	-1	4	4	4	4	4	4	-1	-1	3	-1	4	-1	3	4	-1	-1	-1	-1	-1	4	-1	3	-1	-1	-1	-1	-1	-1	3	5	-1	4	-1	-1	2	-1	4
IMMT	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	4	-1	2	4	4	-1	-1	-1	4
PRDX6	-1	-1	3	-1	-1	4	4	4	4	4	4	-1	-1	3	-1	-1	-1	3	3	-1	-1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	0	3	4	-1	-1	4	-1	4
SSBP1	-1	-1	-1	-1	1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	0	-1
EIF3S8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	4	0	-1
EIF3S6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	3	4	0	-1	-1	-1	-1	-1
