genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
RPL3	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2018	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1389	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3709	1.357	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0404	1.1192	             NaN	             NaN	1.357	             NaN	2.0817	1.9977	             NaN
EEF1G	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1133	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1183	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.7186	             NaN	             NaN	1.6084	             NaN	2.9069	2.3317	             NaN
EEF2	             NaN	             NaN	1.4493	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1337	             NaN	             NaN	             NaN	1.228	1.4011	             NaN	             NaN	             NaN	             NaN	1.4844	1.3335	1.373	1.638	             NaN	             NaN	1.05	             NaN	             NaN	             NaN	             NaN	1.1886	             NaN	1.716	1.8896	             NaN	1.3115	2.0981	1.9057
RPS14	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.2069	             NaN	1.3406	1.1315	             NaN	2.1163	             NaN	             NaN
RPS6	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3559	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0254	             NaN	             NaN	2.003	             NaN	3.4195	2.0112	             NaN
RPS7	             NaN	             NaN	1.3811	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2981	             NaN	1.4496	             NaN	             NaN	             NaN	             NaN	             NaN	1.0902	1.3965	2.0537	1.5979	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1046	             NaN	             NaN	1.9118	             NaN	1.3219	1.3774	1.2478
RPL35A	             NaN	             NaN	1.08	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3207	             NaN	1.0249	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.2358	             NaN	1.0731	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4852	             NaN	1.4973	2.0602	             NaN	2.6781	1.7369	             NaN
RPS2	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3311	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.1838	             NaN	1.2445	1.8495	             NaN	2.0356	1.3208	             NaN
RPS18	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3397	1.6843	1.2896	1.4162	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.3672	             NaN	1.9724	2.418	             NaN	3.6893	1.8672	             NaN
RPS16	             NaN	             NaN	             NaN	             NaN	1.3147	             NaN	1.0168	             NaN	             NaN	             NaN	1.0284	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2577	1.0026	1.3384	2.2773	             NaN	             NaN	1.64	             NaN	             NaN	             NaN	             NaN	1.1898	1.1593	1.8404	1.939	             NaN	2.9285	2.1851	             NaN
RPL19	             NaN	             NaN	             NaN	             NaN	1.3229	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7078	1.7097	1.2958	1.4718	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0296	             NaN	1.9488	1.8041	             NaN	2.4215	1.9088	             NaN
RPL31	             NaN	             NaN	1.5385	             NaN	1.2138	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7714	1.4475	             NaN	             NaN	             NaN	             NaN	             NaN	1.5188	1.1945	1.1486	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0879	             NaN	1.6906	1.9866	             NaN	1.0688	1.8491	1.1962
RPS5	             NaN	             NaN	3.4906	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0439	             NaN	2.7872	3.1516	             NaN	             NaN	             NaN	             NaN	1.4283	5.4085	5.4085	1.746	1.1332	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3785	             NaN	1.5193	1.4758	             NaN	1.6125	1.0866	             NaN
LAMR1	             NaN	             NaN	1.273	             NaN	             NaN	             NaN	             NaN	             NaN	1.3547	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1613	             NaN	1.6482	1.564	             NaN	             NaN	             NaN	             NaN	1.809	2.7248	1.6947	2.7958	1.1487	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1164	             NaN	1.4965	1.9046	             NaN	1.6516	1.0473	             NaN
RPL29	             NaN	             NaN	1.3741	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5074	             NaN	1.1597	             NaN	             NaN	             NaN	             NaN	             NaN	1.5341	3.0643	3.0802	3.7725	1.4159	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4175	             NaN	             NaN	2.2501	             NaN	1.0555	1.8923	             NaN
RPL18A	             NaN	             NaN	1.2856	             NaN	1.4266	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1948	1.3735	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0651	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.1633	1.1726	1.0972	1.1784	             NaN	             NaN	2.0045	             NaN
RPS21	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2116	             NaN	             NaN	             NaN	1.1298	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1361	1.8151	1.6149	1.4057	1.0505	             NaN	1.5266	1.6927	             NaN
RPL38	             NaN	             NaN	             NaN	             NaN	1.076	             NaN	1.1415	             NaN	             NaN	             NaN	1.1444	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1098	1.0537	1.0463	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.7881	1.1467	1.063	1.1549	             NaN	             NaN	1.6893	             NaN
RPL12	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.212	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0337	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.14	1.1946	1.1434	             NaN	             NaN	2.085	             NaN
RPS28	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1728	             NaN	             NaN	             NaN	1.1834	             NaN	             NaN	             NaN	             NaN	1.1248	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6619	             NaN	1.1913	             NaN	1.1938	             NaN	             NaN	2.2539	             NaN
RPS10	             NaN	             NaN	1.8925	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.1458	1.7716	             NaN	             NaN	             NaN	             NaN	             NaN	2.7	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4511	             NaN	             NaN	2.0238	1.9951	             NaN	4.4529	2.5416	             NaN
RPL9	             NaN	             NaN	1.3638	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0121	1.4236	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3365	             NaN	1.1074	2.06	1.9215	             NaN	1.2828	3.3104	             NaN
RPS11	             NaN	             NaN	             NaN	             NaN	1.0849	             NaN	1.0275	             NaN	             NaN	             NaN	1.038	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0345	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1113	             NaN	1.2538	1.3433	1.3197	             NaN	             NaN	1.8721	             NaN
RPL32	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.5759	1.2114	1.5323	1.3181	             NaN	2.7004	2.0704	             NaN
RPS19	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.8344	             NaN	1.5181	1.6526	             NaN	3.7442	2.0773	             NaN
RPL28	             NaN	             NaN	             NaN	             NaN	1.6521	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.005	1.0193	1.0188	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0292	2.091	2.6084	             NaN	1.8742	2.8506	             NaN
RPL7A	             NaN	             NaN	             NaN	             NaN	1.0798	             NaN	1.3435	             NaN	1.082	             NaN	1.0786	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0656	1.3918	             NaN	             NaN	             NaN	             NaN	2.7297	             NaN
GNB2L1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0792	             NaN	1.0606	             NaN	             NaN	             NaN	1.4359	             NaN
RPS3	             NaN	             NaN	1.0866	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3502	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.746	6.1014	             NaN	             NaN	2.5886	             NaN	             NaN	1.1865	             NaN
RPL13A	             NaN	             NaN	1.4669	             NaN	             NaN	             NaN	             NaN	             NaN	1.1476	             NaN	1.2255	             NaN	             NaN	             NaN	             NaN	1.0063	             NaN	             NaN	1.0501	             NaN	             NaN	             NaN	             NaN	1.0498	1.157	1.3684	1.1055	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	6.3463	1.1493	             NaN	1.197	             NaN	             NaN	1.8435	1.3219
RPL8	             NaN	             NaN	1.9495	             NaN	             NaN	             NaN	             NaN	             NaN	1.1992	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6902	2.0155	             NaN	             NaN	             NaN	             NaN	             NaN	1.2615	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0371	6.0383	1.0086	             NaN	1.552	             NaN	             NaN	3.3871	2.3219
RPL10A	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0073	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0128	1.2155	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3297	             NaN	1.012	             NaN	             NaN	             NaN	             NaN	2.0403	1.3219
RPS27A	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1517	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0774	2.1049	2.1261	             NaN	2.511	3.2427	             NaN
RPS23	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2536	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0272	4.0403	1.1595	1.503	1.3218	             NaN	2	2.426	             NaN
RPL11	             NaN	             NaN	1.964	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.7988	1.6297	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1906	3.0705	1.1902	1.9522	2.0294	             NaN	2.1043	2.1962	             NaN
RPS8	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1204	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0455	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.4488	             NaN	             NaN	1.0129	             NaN	             NaN	1.2297	             NaN
RPL6	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2771	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1016	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.38	1.81	1.25	             NaN	             NaN	             NaN	5.0942	             NaN	             NaN	1.2311	             NaN	             NaN	1.5107	             NaN
RPL35	             NaN	             NaN	1.9053	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1586	1.3291	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8408	1.3954	1.0755	1.1333	             NaN	1.6323	1.4057	             NaN
SLC25A6	             NaN	             NaN	1.0131	             NaN	             NaN	             NaN	             NaN	1.2591	1.2551	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1102	             NaN	1.2788	             NaN	             NaN	             NaN	1.3219
RPS3A	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0092	1.1488	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.8036	             NaN	1.5518	1.3491	             NaN	             NaN	2.263	             NaN
RPL34	             NaN	             NaN	1.1978	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0518	1.1044	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1675	             NaN	1.0165	             NaN	1.1375	             NaN	             NaN	1.8161	             NaN
RPL23	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2915	1.0496	1.158	             NaN	             NaN	             NaN	1.1039	1.3219
RPS24	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6497	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.589	             NaN	2.7202	             NaN	             NaN
RPL27A	             NaN	             NaN	             NaN	             NaN	6.685	1.0186	             NaN	             NaN	             NaN	             NaN	1.176	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0136	             NaN	             NaN	             NaN	             NaN	3.39	             NaN	1.85	             NaN	3.4164	1.2192	             NaN	             NaN	             NaN	             NaN	2.0143	             NaN
PTMA	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3991	             NaN	1.3664	1.8536	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.6499	             NaN	             NaN	1.4461	             NaN	4.4564	1.405	             NaN
HNRPA1	             NaN	             NaN	1.3014	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0004	             NaN	             NaN	             NaN	             NaN	1.2959	1.3336	1.4461	1.0554	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8264	3.3793	1.3415	1.5244	2.4923	             NaN	2.5265	             NaN	             NaN
NACA	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.086	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	5.38	             NaN	3.35	1.339	5.101	             NaN	             NaN	1.398	             NaN	             NaN	1.9389	1.3219
PTTG1IP	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1816	1.0483	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9874	3	             NaN	1.1542	1.3703	             NaN	1.6405	1.6537	             NaN
YWHAH	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0179	1.0009	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1892	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0242	             NaN	1.6733	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2044	             NaN	1.4917	             NaN	             NaN	2.0789	1.3685
MYH9	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9754	1.4284	3.8483	1.3528	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.118	3.9069	             NaN	1.0083	             NaN	             NaN	4.1127	1.8458	             NaN
PSMB1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.2174	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4374	             NaN	             NaN	             NaN	             NaN	             NaN	1.0125	1.6667	             NaN
TRIP12	             NaN	1.0352	             NaN	             NaN	1.0122	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5785	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.5655	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0145	             NaN	1.8242	1.1781	             NaN	1.339	1.3161	             NaN
GRN	             NaN	             NaN	1.6258	             NaN	2.1945	             NaN	             NaN	             NaN	             NaN	1.1657	1.4913	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8737	1.6835	             NaN	             NaN	             NaN	             NaN	1.1062	1.0071	             NaN	1.2292	1.2159	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3863	1.0797	1.192	1.192	             NaN	1.1405	1.0817	             NaN
PRDX1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.4645	             NaN	1.0196	1.0469	             NaN	             NaN	1.0318	             NaN
GSTO1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0136	             NaN	             NaN	             NaN	             NaN	             NaN	1.0517	             NaN	             NaN	             NaN	3.2327	             NaN	1.9863	1.1217	             NaN	1.1508	             NaN	             NaN
NPC2	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0439	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0723	1.5155	1.0889	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	6.2016	             NaN	1.714	1.7839	             NaN	1.8546	2.3854	             NaN
ALDOA	             NaN	             NaN	             NaN	             NaN	2.9332	             NaN	1.2115	             NaN	1.0427	1.1061	1.3386	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2602	             NaN	             NaN	             NaN	             NaN	             NaN	3.0373	1.5149	2.2124	2.1935	1.2852	             NaN	             NaN	1.18	             NaN	             NaN	1.0025	1.0724	1.2586	1.2763	1.3235	             NaN	1.1552	             NaN	             NaN
CSTB	             NaN	             NaN	             NaN	             NaN	2.4701	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4761	2.1176	1.6268	1.3916	1.0362	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2967	1.3797	1.6236	1.5957	             NaN	2.087	1.692	             NaN
VIM	             NaN	             NaN	             NaN	             NaN	2.255	             NaN	1.2383	             NaN	             NaN	1.052	1.5298	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0918	1.5376	1.0282	1.303	1.4723	1.2666	             NaN	             NaN	1.055	             NaN	             NaN	1.1567	1.3723	2.0316	1.8404	2.7305	             NaN	2.1537	1.8828	1.1667
TMSB4X	             NaN	             NaN	2.2198	             NaN	2.2741	             NaN	1.793	             NaN	             NaN	1.1243	2.0018	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.9527	2.0912	             NaN	             NaN	             NaN	             NaN	1.5314	1.7234	1.736	1.5571	1.3135	             NaN	             NaN	             NaN	             NaN	             NaN	1.0371	7.3379	2.1204	2.3579	3.0288	1.0515	1.8305	3.5119	1.263
TPT1	             NaN	             NaN	             NaN	             NaN	1.4276	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0408	1.4175	1.057	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	7.0092	             NaN	1.5395	1.6823	             NaN	1.2151	1.919	             NaN
EEF1A1	             NaN	             NaN	2.0799	             NaN	2.3304	             NaN	1.6497	             NaN	             NaN	1.0214	1.931	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9648	1.8927	             NaN	             NaN	             NaN	             NaN	1.015	1.4358	2.382	2.2827	1.0458	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2513	2.0075	2.2014	3.1259	             NaN	3.3973	2.5341	1
CST3	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3605	             NaN	             NaN	1.0221	1.5733	             NaN	             NaN	             NaN	             NaN	1.054	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5867	2.0406	1.8402	1.8359	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	7.0279	1.8559	1.4869	1.9884	             NaN	             NaN	2.7013	             NaN
