genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
SDHA	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0669	1.1412	1.0252	             NaN	1.0145	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3831	1.3798	             NaN	             NaN	             NaN	1.1434	1.1424	             NaN	1.5158	1.5623	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4157	2.903	             NaN	1.2393	             NaN	             NaN	2.4594	1.1893	1.237
SPTAN1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.6799	2.059	             NaN	             NaN	             NaN	1.0617	             NaN	1.1226	             NaN	             NaN	1.9204	             NaN	             NaN	1.0171	             NaN	1.2572	2.0913	3.2696	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0788	2.5993	             NaN	             NaN	1.0196	1.0703	3.0356	1.2555	1.8219
BLOC1S1	             NaN	             NaN	1.1923	1.004	             NaN	1.0148	             NaN	1.7985	1.186	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0079	             NaN	1.1181	             NaN	             NaN	             NaN	1.2152	1.1716	             NaN	             NaN	1.0322	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0144	1.0009	             NaN	1.1416	             NaN	2.7655	1.133	1.237
ATP5O	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0715	             NaN	1.2159	1.1302	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1019	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.1043	             NaN	             NaN	1.0753	             NaN	3.4725	1.4078	             NaN
NDUFS8	1.3547	1.0344	             NaN	1.4734	             NaN	3.1114	1.0585	1.729	1.729	             NaN	1.8977	             NaN	1.6037	             NaN	1.1265	1.7001	1.9271	3.5844	1.1299	1.2491	1.3018	1.7999	1.7657	1.4263	2.2187	2.1891	1.8641	1.3809	             NaN	             NaN	             NaN	             NaN	             NaN	1.1647	1.2558	             NaN	1.353	1.4406	1.1073	1.1375	1	1.5294
MAN2B1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0191	1.096	             NaN	             NaN	             NaN	1.1312	             NaN	             NaN	1.1833	2.2996	             NaN	1.2544	1.0031	             NaN	             NaN	             NaN	             NaN	             NaN	1.1742	1.3569	             NaN	             NaN	2.4603	             NaN	1.8854	1.7491	             NaN
RASSF2	1.4288	             NaN	             NaN	             NaN	             NaN	1.762	1.5979	1.8991	1.5941	1.2623	             NaN	             NaN	             NaN	1.1504	2.1677	             NaN	             NaN	1.2546	             NaN	             NaN	             NaN	             NaN	             NaN	3.5813	2.09	             NaN	1.1355	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.2388	             NaN	1.1073	             NaN	             NaN	1.6781	             NaN	             NaN
AP1B1	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	2.0619	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1925	             NaN	1.1073	1.4406	             NaN	1.3785	             NaN	1.3219
POLR2G	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.1732	1.1009	1.0135	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.055	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3343	2.4751	             NaN	             NaN	             NaN	1.2788	2.433	1.5045	1.0294
DDB1	             NaN	             NaN	             NaN	             NaN	             NaN	1.8082	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.4409	2.5128	             NaN	             NaN	1.1269	             NaN	2.0704	1.2165	             NaN
